STATE_UT_NAME,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
ANDAMAN And NICOBAR ISLANDS,61.23333333333333,33.26666666666667,30.8,86.96666666666665,358.8333333333333,418.6666666666667,390.5666666666666,385.3,421.73333333333335,301.1,263.2,159.73333333333335
ANDHRA PRADESH,6.321739130434781,7.3521739130434804,10.095652173913043,19.873913043478268,48.76521739130436,114.36956521739133,185.36521739130438,179.42608695652171,160.37391304347824,138.60000000000002,58.96521739130434,15.56521739130435
ARUNACHAL PRADESH,53.68750000000001,93.29375,165.01875,275.1625,300.26249999999993,491.38125,547.58125,378.6000000000001,366.47499999999997,176.76875,43.18749999999999,35.95625
ASSAM,15.733333333333334,31.71481481481482,77.76296296296296,181.26666666666668,333.87037037037044,465.1851851851851,494.84444444444443,377.3703703703703,303.79999999999995,136.44814814814814,24.922222222222224,11.440740740740742
BIHAR,13.134210526315792,9.27894736842105,9.873684210526314,16.865789473684217,51.67368421052631,168.7815789473684,340.83684210526326,289.4815789473684,223.378947368421,64.74736842105263,6.71578947368421,5.786842105263159
CHANDIGARH,44.3,38.9,33.2,14.8,30.1,120.0,282.4,287.5,154.3,31.8,9.9,23.4
CHATISGARH,10.377777777777776,10.472222222222221,12.977777777777778,13.116666666666667,17.483333333333334,180.58333333333337,375.4055555555555,375.3388888888889,214.44444444444446,61.84444444444445,8.494444444444447,5.811111111111111
DADAR NAGAR HAVELI,0.4,0.3,0.0,0.0,7.4,385.1,884.5,655.9,391.4,38.6,10.5,0.0
DAMAN AND DUI,0.55,0.5,0.2,0.1,4.15,276.5,583.1,394.6,227.6,35.55,12.4,0.45
DELHI,16.400000000000002,16.3,15.299999999999999,8.9,19.3,59.800000000000004,220.70000000000002,245.5,110.20000000000002,20.5,5.6000000000000005,8.6
GOA,0.55,0.05,0.55,7.8,87.75,908.0999999999999,1108.1,683.8,280.9,155.7,35.0,10.2
GUJARAT,0.7846153846153847,0.3923076923076923,1.1423076923076922,0.5076923076923077,4.8038461538461545,139.24615384615385,333.8384615384615,257.6307692307692,148.47307692307692,25.103846153846153,10.826923076923077,1.5923076923076924
